,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Pneumothorax,0.4757996276865798,0.02467083316404023,0.47444576070401084,0.0,0.049754611609409374,-0.02872366174934393
1,Fracture,0.5341122470269143,0.0,0.3531191320675986,0.056915851181683894,0.11276862090548717,-0.0030895871877890876
2,Cardiomegaly,0.4800238826339133,-0.014258223160631855,0.4245052882975094,0.07378913954218691,0.09547082906857728,0.0
3,Enlarged Cardiomediastinum,0.45794567592881674,-0.01416966046564938,0.44807992507024663,0.0,0.09397439900093663,0.08463334777793827
4,Airspace Opacity,0.5294876990738656,0.041177787769882235,0.3705438225184251,0.0,0.09996847840770928,-0.059231618801820596
5,Lung Lesion,0.5318393434861517,-0.06437987447808619,0.37899471316973093,0.03662533925146341,0.08916594334411741,0.0
6,Consolidation,0.4460312532339853,-0.07774991424032665,0.43233640346338265,0.0,0.12163234330263203,0.038473223656082245
7,Pleural Other,0.5444649446494465,0.016393287133442486,0.23800738007380073,-0.10757441268714125,0.21752767527675276,0.0
8,Support Devices,0.46357165828291963,0.0,0.46432407177053814,0.10256870137409979,0.07210426994654223,-0.022476657423227575
9,Pneumonia,0.54922515952598,0.0,0.3725311455484655,-0.030766916592019966,0.07824369492555454,0.14257655310710943
10,Edema,0.49925473151546274,0.0,0.39718426293573156,0.06813415824366514,0.10356100554880569,-0.1105021956144806
11,Pleural Effusion,0.5490872310685613,0.0812885774867117,0.40747634667659394,0.0,0.04343642225484481,-0.106211932419924
12,No Finding,0.38149191812453526,-0.21495309801401385,0.46352393252710267,0.0,0.1549841493483621,0.011674844659709804
13,Atelectasis,0.5613212958795548,0.10624145944057528,0.3718814257852144,0.0,0.06679727833523073,-0.16813974509886565
