,"diseases","%White","Gap_White","%Black","Gap_Black","%Hisp","Gap_Hisp","%Other","Gap_Other","%Asian","Gap_Asian","%American","Gap_American"
0,"Pneumothorax",0.750539083557952,0,0.127178796046721,-0.062185885994819,0.079469901168014,0.032817168094816,0.029200359389039,-0.021721249959713,0.013611859838275,0.027565371010076,0,
1,"Consolidation",0.714931281744846,0.025972733694381,0.149200776815058,-0.01796735832238,0.098110247983269,0,0.02315506423663,-0.086100912361703,0.014602629220197,0.021266466567428,0,
2,"Fracture",0.811576215728309,0.027412233672808,0.065891910188424,-0.045677280676188,0.021211779307232,-0.009973404255319,0.098612208055963,0.060745715468134,0.000902628906691,-0.052526595744681,0.001805257813381,0.009973404255319
3,"Atelectasis",0.660526891643754,0.01149089671282,0.2013281703407,-0.025573872731294,0.08495152558821,-0.01149089671282,0.037371440532029,0.018111295416581,0.012739398898266,-0.024671300647905,0.003082572997041,0.095067494657234
4,"Pleural Other",0.93659726130182,0.148619090348535,0.047645845057213,0,0.001500656537235,-0.023622047244095,0.005252297880323,-0.023622047244095,0.00900393922341,0.163877952755905,0,
5,"Edema",0.617785762407366,-0.008154349453728,0.204105626081558,0.034309528094202,0.129575567033461,0.040377071793512,0.038348238464485,0.008154349453728,0.008018388132257,-0.110933386292001,0.002166417880873,-0.162888222150079
6,"Support Devices",0.618486291249384,-0.07997105523464,0.219977015268429,-0.028871055616921,0.113288458381218,0.200451688623703,0.033695616483336,0.077484873586128,0.013922180265966,-0.088817623628362,0.000630438351666,0.028871055616921
7,"No Finding",0.501696577684702,-0.073228878155118,0.353928637701137,0.186615536993108,0.09928293083795,-0.068840463914224,0.029524428067757,0.068840463914224,0.014752273149007,0.096020621283061,0.000815152559446,-0.103911445423051
8,"Cardiomegaly",0.584693133085396,-0.136485402356926,0.26359948039931,0.016384208954166,0.105984305212022,0.009303469725933,0.031505240493265,-0.009303469725933,0.01190455006495,-0.174235808348155,0.002313290745058,0.127149726893883
9,"Enlarged Cardiomediastinum",0.702839823417013,0.034527366181803,0.150490874349344,0,0.094023851881136,-0.067640648145535,0.038545167029057,-0.087350876405167,0.01410028332345,0.235662143804115,0,
10,"Pneumonia",0.672014354319489,0.089340088772758,0.208164019209457,0.013612375029476,0.083302548947174,-0.013612375029476,0.020001055464668,-0.088903870328694,0.015673650324555,0.091257461547677,0.000844371734656,-0.235341865051649
11,"Pleural Effusion",0.710238790841879,0.076114120732898,0.171662592415931,-0.011770241779033,0.06841014786549,-0.140887562788922,0.033903231576437,0.011770241779033,0.013161817314572,-0.088053696228823,0.00262341998569,0.185921903482904
12,"Lung Lesion",0.715500119170573,-0.018853131728606,0.209263525860014,0.013769766597339,0.016763327242393,-0.132433546260045,0.040200206562326,0.210671936758893,0.018272821164694,0,0,
13,"Airspace Opacity",0.675257650977188,0.058828770795638,0.182680826996795,-0.119666314255094,0.099541255577201,0.031723991667914,0.026307107396468,-0.0287977823201,0.014948469804562,0.0287977823201,0.001264689247785,-0.335556636821954
