,Unnamed: 0,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,0,Pneumothorax,0.4757996276865798,0.011115332733805829,0.4744457607040109,0.0,0.049754611609409374,-0.06814504828148488
1,1,Airspace Opacity,0.5294876990738656,0.03312095052053654,0.3705438225184251,0.0,0.09996847840770927,-0.04616052088708656
2,2,Consolidation,0.4460312532339853,-0.06679679798464302,0.43233640346338265,0.0,0.12163234330263205,0.02336379886764289
3,3,Pleural Other,0.5444649446494465,0.08108348142648845,0.23800738007380076,-0.01865199124208533,0.2175276752767528,0.0
4,4,Fracture,0.5341122470269143,0.0,0.3531191320675986,0.015962830040620383,0.11276862090548714,-0.08595358030758557
5,5,Lung Lesion,0.5318393434861517,-0.001793545337569896,0.3789947131697309,0.1045546754517365,0.08916594334411741,0.0
6,6,Enlarged Cardiomediastinum,0.4579456759288168,-0.02246709709272401,0.4480799250702466,0.0,0.09397439900093664,0.08968247795345871
7,7,Cardiomegaly,0.4800238826339133,0.0,0.4245052882975094,0.09690560859917263,0.09547082906857728,-0.015698944995928055
8,8,Support Devices,0.4635716582829196,0.0,0.4643240717705381,0.11508078408131185,0.07210426994654222,-0.018850908058061
9,9,Pneumonia,0.54922515952598,0.0,0.3725311455484655,-0.003976505662994122,0.07824369492555454,0.14266159968129918
10,10,Edema,0.4992547315154627,0.0,0.3971842629357316,0.05532573671925484,0.10356100554880568,-0.12792889444241118
11,11,Pleural Effusion,0.5490872310685613,0.10349484520177664,0.4074763466765939,0.0,0.043436422254844814,-0.09734446029322212
12,12,No Finding,0.3814919181245353,-0.21403190449420245,0.4635239325271026,0.0012651617851727748,0.1549841493483621,0.0
13,13,Atelectasis,0.5613212958795548,0.08934177228645067,0.3718814257852144,0.0,0.06679727833523072,-0.1646681706072941
0,0,Pneumothorax,0.4757996276865798,0.005452732400091448,0.4744457607040109,-0.013041733547351523,0.049754611609409374,0.0
1,1,Airspace Opacity,0.5294876990738656,0.015577475344041969,0.3705438225184251,0.0,0.09996847840770927,-0.05408860817391958
2,2,Lung Lesion,0.5318393434861517,0.0,0.3789947131697309,0.07781032626122028,0.08916594334411741,-0.00045823376486961437
3,3,Consolidation,0.4460312532339853,-0.0634281197561099,0.43233640346338265,0.0,0.12163234330263205,0.0412982330165097
4,4,Enlarged Cardiomediastinum,0.4579456759288168,-0.03740443632518661,0.4480799250702466,0.0,0.09397439900093664,0.07756076919373177
5,5,Cardiomegaly,0.4800238826339133,0.0,0.4245052882975094,0.0895987473785308,0.09547082906857728,-0.02551846715359041
6,6,Fracture,0.5341122470269143,0.0,0.3531191320675986,0.07537995060930576,0.11276862090548714,-0.05170107972941721
7,7,Support Devices,0.4635716582829196,0.0,0.4643240717705381,0.1161622554866384,0.07210426994654222,-0.02150327059547097
8,8,Pleural Other,0.5444649446494465,0.12074976555050318,0.23800738007380076,0.0,0.2175276752767528,-0.03953488372093023
9,9,Pleural Effusion,0.5490872310685613,0.10403771337356303,0.4074763466765939,0.0,0.043436422254844814,-0.08952097968935185
10,10,Edema,0.4992547315154627,0.0,0.3971842629357316,0.0640053753340506,0.10356100554880568,-0.13310422504932212
11,11,Pneumonia,0.54922515952598,-0.014798675839370891,0.3725311455484655,0.0,0.07824369492555454,0.2026962996985487
12,12,No Finding,0.3814919181245353,-0.22618912398968105,0.4635239325271026,0.0,0.1549841493483621,0.006294513790186529
13,13,Atelectasis,0.5613212958795548,0.10266088036053957,0.3718814257852144,0.0,0.06679727833523072,-0.16165805389282673
0,0,Airspace Opacity,0.5294876990738656,0.02868568583564068,0.3705438225184251,0.0,0.09996847840770927,-0.023519488864218733
1,1,Pneumothorax,0.4757996276865798,0.020781024938308332,0.4744457607040109,0.0,0.049754611609409374,-0.03158997681469592
2,2,Consolidation,0.4460312532339853,-0.08645611162709874,0.43233640346338265,0.0,0.12163234330263205,0.005173409696981934
3,3,Cardiomegaly,0.4800238826339133,-0.018407266587684545,0.4245052882975094,0.07592784911264583,0.09547082906857728,0.0
4,4,Enlarged Cardiomediastinum,0.4579456759288168,-0.03903837109365857,0.4480799250702466,0.0,0.09397439900093664,0.0718673726004363
5,5,Fracture,0.5341122470269143,0.0,0.3531191320675986,0.07639574870753324,0.11276862090548714,-0.03506049086493987
6,6,Lung Lesion,0.5318393434861517,-0.013303222079252108,0.3789947131697309,0.09914028658342222,0.08916594334411741,0.0
7,7,Support Devices,0.4635716582829196,0.0,0.4643240717705381,0.1128725234105199,0.07210426994654222,-0.013897067390591822
8,8,Pleural Other,0.5444649446494465,0.12186120064411222,0.23800738007380076,0.0,0.2175276752767528,-0.03207290372211373
9,9,Pleural Effusion,0.5490872310685613,0.08136709064931412,0.4074763466765939,0.0,0.043436422254844814,-0.09695775794792516
10,10,Pneumonia,0.54922515952598,-0.0015251801861767278,0.3725311455484655,0.0,0.07824369492555454,0.18560279700343685
11,11,No Finding,0.3814919181245353,-0.20935484407207927,0.4635239325271026,0.00015188437477031688,0.1549841493483621,0.0
12,12,Edema,0.4992547315154627,0.0,0.3971842629357316,0.0871569570658362,0.10356100554880568,-0.13593536774459436
13,13,Atelectasis,0.5613212958795548,0.0962108458722596,0.3718814257852144,0.0,0.06679727833523072,-0.19229536134542125
0,0,Airspace Opacity,0.5294876990738656,0.016994948258130527,0.3705438225184251,0.0,0.09996847840770927,-0.04114505212495978
1,1,Pneumothorax,0.4757996276865798,0.034690320187086066,0.4744457607040109,0.0,0.049754611609409374,-0.024506993808759453
2,2,Fracture,0.5341122470269143,0.0,0.3531191320675986,0.06841938238552436,0.11276862090548714,-0.011933756359851985
3,3,Cardiomegaly,0.4800238826339133,-0.010435734078556023,0.4245052882975094,0.07297206348040719,0.09547082906857728,0.0
4,4,Lung Lesion,0.5318393434861517,-0.04912817415509048,0.3789947131697309,0.05297242320894571,0.08916594334411741,0.0
5,5,Enlarged Cardiomediastinum,0.4579456759288168,-0.007343889989934016,0.4480799250702466,0.0,0.09397439900093664,0.09556569147064596
6,6,Consolidation,0.4460312532339853,-0.08151049211520099,0.43233640346338265,0.0,0.12163234330263205,0.03708363069539528
7,7,Support Devices,0.4635716582829196,0.0,0.4643240717705381,0.10338168326542474,0.07210426994654222,-0.0207750421976981
8,8,Pleural Other,0.5444649446494465,0.0,0.23800738007380076,-0.1352675088460356,0.2175276752767528,0.027256900882350662
9,9,Pneumonia,0.54922515952598,0.0,0.3725311455484655,-0.009739135241731143,0.07824369492555454,0.15919778699861686
10,10,Edema,0.4992547315154627,0.0,0.3971842629357316,0.07527293960342972,0.10356100554880568,-0.10831517456071836
11,11,Pleural Effusion,0.5490872310685613,0.09416205521085552,0.4074763466765939,0.0,0.043436422254844814,-0.09910513674335476
12,12,No Finding,0.3814919181245353,-0.22196622671253705,0.4635239325271026,0.0,0.1549841493483621,0.00712932614872508
13,13,Atelectasis,0.5613212958795548,0.10422344664688964,0.3718814257852144,0.0,0.06679727833523072,-0.16796908203421707
0,0,Pneumothorax,0.4757996276865798,0.0242660680399342,0.4744457607040109,0.0,0.049754611609409374,-0.03087976763739203
1,1,Airspace Opacity,0.5294876990738656,0.03360045459418204,0.3705438225184251,0.0,0.09996847840770927,-0.03803097839798808
2,2,Consolidation,0.4460312532339853,-0.062379398820215926,0.43233640346338265,0.0,0.12163234330263205,0.020023688794537583
3,3,Fracture,0.5341122470269143,0.0,0.3531191320675986,0.04265399972304283,0.11276862090548714,-0.05704552353145236
4,4,Lung Lesion,0.5318393434861517,-0.024577873480213216,0.3789947131697309,0.07728152942758859,0.08916594334411741,0.0
5,5,Enlarged Cardiomediastinum,0.4579456759288168,-0.02589214297636061,0.4480799250702466,0.0,0.09397439900093664,0.07598751097234413
6,6,Cardiomegaly,0.4800238826339133,0.0,0.4245052882975094,0.05767047647976142,0.09547082906857728,-0.066437576180152
7,7,Support Devices,0.4635716582829196,0.0,0.4643240717705381,0.10147337943327693,0.07210426994654222,-0.03325256138314303
8,8,Pleural Other,0.5444649446494465,0.11803435440357885,0.23800738007380076,0.0,0.2175276752767528,-0.01951594768921238
9,9,Edema,0.4992547315154627,0.0,0.3971842629357316,0.06588150382415897,0.10356100554880568,-0.10847074228867692
10,10,Pneumonia,0.54922515952598,-0.007292980504619073,0.3725311455484655,0.0,0.07824369492555454,0.17140106220666573
11,11,Pleural Effusion,0.5490872310685613,0.08627725340816418,0.4074763466765939,0.0,0.043436422254844814,-0.11211883806169733
12,12,No Finding,0.3814919181245353,-0.2263952987892571,0.4635239325271026,0.0,0.1549841493483621,0.013515543410633546
13,13,Atelectasis,0.5613212958795548,0.10505844005634102,0.3718814257852144,0.0,0.06679727833523072,-0.15111639519801867
