,diseases,%Medicare,Gap_Medicare,%Other,Gap_Other,%Medicaid,Gap_Medicaid
0,Pneumothorax,0.4757996276865798,0.010908057720207642,0.47444576070401084,0.0,0.049754611609409374,-0.05467973706336468
1,Airspace Opacity,0.5294876990738656,0.026714739394692488,0.3705438225184251,0.0,0.09996847840770928,-0.05403306368833383
2,Cardiomegaly,0.4800238826339133,0.0,0.4245052882975094,0.09101589554838274,0.09547082906857728,-0.009955904630338686
3,Fracture,0.5341122470269143,0.0,0.3531191320675986,0.016067842965288043,0.11276862090548717,-0.08673483030758555
4,Consolidation,0.4460312532339853,-0.07540195353717077,0.43233640346338265,0.0,0.12163234330263203,0.027511329251298372
5,Lung Lesion,0.5318393434861517,-0.008638166014547949,0.37899471316973093,0.09789512085919751,0.08916594334411741,0.0
6,Enlarged Cardiomediastinum,0.45794567592881674,-0.02355992112605146,0.44807992507024663,0.0,0.09397439900093663,0.09430743674929723
7,Support Devices,0.46357165828291963,0.0,0.46432407177053814,0.11928190609319278,0.07210426994654223,-0.013690278164934067
8,Pneumonia,0.54922515952598,0.0,0.3725311455484655,-0.0009201284298926693,0.07824369492555454,0.13836092870859015
9,Pleural Other,0.5444649446494465,0.04959029716066404,0.23800738007380073,-0.10845020415409194,0.21752767527675276,0.0
10,Edema,0.49925473151546274,0.0,0.39718426293573156,0.05059169824023879,0.10356100554880569,-0.12707320214739054
11,Pleural Effusion,0.5490872310685613,0.1039775039620332,0.40747634667659394,0.0,0.04343642225484481,-0.09686180153296559
12,No Finding,0.38149191812453526,-0.21601950728970476,0.46352393252710267,0.006124488080307744,0.1549841493483621,0.0
13,Atelectasis,0.5613212958795548,0.09168322156771658,0.3718814257852144,0.0,0.06679727833523073,-0.16451484881376005
