,diseases,%M,Gap_M,%F,Gap_F
0,Edema,0.5654218736638936,-0.0016695634514597435,0.4345781263361063,0.0016695634514597435
1,Pneumothorax,0.6660587269742841,0.0021250036639283154,0.33394127302571586,-0.0021250036639283154
2,Atelectasis,0.6068533735815306,0.0026850843646618605,0.3931466264184694,-0.0026850843646618605
3,Consolidation,0.6304306281054911,0.02873269756266769,0.36956937189450884,-0.02873269756266769
4,Pleural Other,0.6534700315457413,0.043084666284560036,0.34652996845425865,-0.043084666284560036
5,Lung Lesion,0.5709656513285807,-0.04569409247250619,0.4290343486714193,0.04569409247250619
6,Pneumonia,0.5917776230998945,0.04688339314167303,0.40822237690010554,-0.04688339314167303
7,Airspace Opacity,0.6205496478386963,0.0475687378968328,0.3794503521613037,-0.0475687378968328
8,Cardiomegaly,0.5918838824804028,0.04786103728281055,0.4081161175195972,-0.04786103728281055
9,Fracture,0.6633405249910105,0.07988382576687604,0.3366594750089896,-0.07988382576687604
10,Enlarged Cardiomediastinum,0.6191416458563215,0.08504289175353594,0.38085835414367847,-0.08504289175353594
11,Pleural Effusion,0.5513118502330634,-0.10692542767812507,0.44868814976693655,0.10692542767812507
12,Support Devices,0.654981009162938,0.14537555728091045,0.345018990837062,-0.14537555728091045
13,No Finding,0.46537867512847153,-0.1806770510923159,0.5346213248715285,0.1806770510923159
