,"diseases","%White","Gap_White","%Black","Gap_Black","%Hisp","Gap_Hisp","%Other","Gap_Other","%Asian","Gap_Asian","%American","Gap_American"
0,"Pneumothorax",0.750539083557952,0.037528586760633,0.127178796046721,-0.066163981286861,0.079469901168014,0.02063965582539,0.029200359389039,-0.006829144452907,0.013611859838275,0,0,
1,"Consolidation",0.714931281744846,0.028861273792261,0.149200776815058,0,0.098110247983269,-0.036188459784857,0.02315506423663,-0.077304291654891,0.014602629220197,0.016792730042989,0,
2,"Atelectasis",0.660526891643754,-0.007432103365284,0.2013281703407,-0.022734945967663,0.08495152558821,0.011719143537398,0.037371440532029,0.003400548939918,0.012739398898266,-0.003400548939918,0.003082572997041,0.108869986469776
3,"Edema",0.617785762407366,0.01184010665158,0.204105626081558,0.000888756301437,0.129575567033461,0.0458595620001,0.038348238464485,-0.000888756301437,0.008018388132257,-0.144642789083522,0.002166417880873,-0.097901518540668
4,"Pleural Other",0.93659726130182,0.178260588445871,0.047645845057213,0,0.001500656537235,-0.023622047244095,0.005252297880323,-0.023622047244095,0.00900393922341,0.163877952755905,0,
5,"Enlarged Cardiomediastinum",0.702839823417013,0.017477819202765,0.150490874349344,-0.00561318424716,0.094023851881136,-0.030797980342479,0.038545167029057,0,0.01410028332345,0.189551881140666,0,
6,"Cardiomegaly",0.584693133085396,-0.138722382987396,0.26359948039931,0.008893690331679,0.105984305212022,0.041059164539845,0.031505240493265,-0.008893690331679,0.01190455006495,-0.17968205081019,0.002313290745058,0.066707508808069
7,"Pneumonia",0.672014354319489,0.077529057903532,0.208164019209457,0.010873008221895,0.083302548947174,-0.010873008221895,0.020001055464668,-0.071625885565286,0.015673650324555,0.074856528727154,0.000844371734656,-0.16925121538059
8,"No Finding",0.501696577684702,-0.060110795057032,0.353928637701137,0.206051723970841,0.09928293083795,-0.073834746587151,0.029524428067757,0.060110795057032,0.014752273149007,0.098499776213308,0.000815152559446,-0.079868948174744
9,"Support Devices",0.618486291249384,-0.10128684987514,0.219977015268429,-0.035767195569753,0.113288458381218,0.197203489117953,0.033695616483336,0.046571619658624,0.013922180265966,-0.068242238392512,0.000630438351666,0.035767195569753
10,"Lung Lesion",0.715500119170573,-0.029752145912387,0.209263525860014,0.013598098445083,0.016763327242393,-0.136781372347002,0.040200206562326,0.180632411067194,0.018272821164694,0,0,
11,"Fracture",0.811576215728309,-0.016286519695567,0.065891910188424,-0.110389376544596,0.021211779307232,0.016286519695567,0.098612208055963,0.22089726023795,0.000902628906691,0.117350349482801,0.001805257813381,-0.070149650517199
12,"Pleural Effusion",0.710238790841879,0.103983197452889,0.171662592415931,-0.016636853064014,0.06841014786549,-0.174242257743338,0.033903231576437,0.016636853064014,0.013161817314572,-0.037975973619735,0.00262341998569,0.242228391663906
13,"Airspace Opacity",0.675257650977188,0.073511318643852,0.182680826996795,-0.085465040898295,0.099541255577201,0.073530340547744,0.026307107396468,-0.031320397913307,0.014948469804562,0.031320397913307,0.001264689247785,-0.404614363480112
