,diseases,%M,Gap_M,%F,Gap_F
0,Pleural Other,0.6534700315457413,0.014804050594083532,0.34652996845425865,-0.014804050594083532
1,Atelectasis,0.6068533735815306,-0.02152469947258251,0.3931466264184694,0.02152469947258251
2,Cardiomegaly,0.5918838824804028,0.022742478552337242,0.4081161175195972,-0.022742478552337242
3,Pneumothorax,0.6660587269742841,0.02762173264828338,0.33394127302571586,-0.02762173264828338
4,Consolidation,0.6304306281054911,0.03518013612744006,0.36956937189450884,-0.03518013612744006
5,Edema,0.5654218736638936,0.04646672712773092,0.4345781263361063,-0.04646672712773092
6,Pneumonia,0.5917776230998945,0.05863961081921476,0.40822237690010554,-0.05863961081921476
7,Lung Lesion,0.5709656513285807,-0.059278799496589624,0.4290343486714193,0.059278799496589624
8,Fracture,0.6633405249910105,0.06509697801884647,0.3366594750089896,-0.06509697801884647
9,Airspace Opacity,0.6205496478386963,0.0749495444129269,0.3794503521613037,-0.0749495444129269
10,Enlarged Cardiomediastinum,0.6191416458563215,0.09173426104484429,0.38085835414367847,-0.09173426104484429
11,Pleural Effusion,0.5513118502330634,-0.0981601506415225,0.44868814976693655,0.0981601506415225
12,Support Devices,0.654981009162938,0.13739903442683754,0.345018990837062,-0.13739903442683754
13,No Finding,0.46537867512847153,-0.19005329429159512,0.5346213248715285,0.19005329429159512
