,"diseases","%60-80","Gap_60-80","%40-60","Gap_40-60","%20-40","Gap_20-40","%80-","Gap_80-","%0-20","Gap_0-20"
0,"Pneumonia",0.432876035655747,-0.025046114170223,0.361946246940746,0.021873231465761,0.137930260233065,-0.026800580321062,0.05700877921728,0.008262335634281,0.010238677953163,0
1,"Consolidation",0.417091349216461,0.008673240699238,0.37300930054784,-0.035294761892387,0.147885080902026,0.019021153864162,0.059083959740094,-0.02699519512481,0.002930309593579,0
2,"Lung Lesion",0.451069345430979,0.035597826086957,0.390667530784187,0.037489000605868,0.095398574206092,0,0.042320155541154,-0.070987166256076,0.020544394037589,-0.035064634480867
3,"Pleural Other",0.430914826498423,0.067933733125576,0.475709779179811,0.034011673713791,0.029652996845426,-0.059764780939407,0.063722397476341,-0.034011673713791,0,
4,"Airspace Opacity",0.407036320950145,0.089537349901477,0.365191271923767,-0.00661563789902,0.153500897666068,0,0.06536390001381,0.107782200168247,0.008907609446209,-0.068247392482399
5,"Enlarged Cardiomediastinum",0.451013415413206,0.044237632056329,0.350426854056565,-0.050368425078402,0.142691213194727,0,0.045995702421744,-0.00536963036963,0.009872814913758,0.153587588881707
6,"Fracture",0.382596188421431,-0.041367271465757,0.449838187702265,0.008433301609617,0.087198849334772,-0.069957593921381,0.074523552678893,0,0.005843221862639,0.150264452073861
7,"Cardiomegaly",0.41492734688675,0,0.319968453253457,-0.068156925065787,0.196099674972914,0.138948529922636,0.06584188388248,0.108561479934638,0.003162641004397,-0.222046939837976
8,"Support Devices",0.395572937211897,0,0.328214635905643,-0.102351892653775,0.221167175718778,0.124453451864723,0.049584681100454,0.089308851003076,0.005460570063228,-0.241243065781726
9,"Atelectasis",0.478817789064309,0.174747407016228,0.335617258810282,0,0.130087923145109,-0.043005423900736,0.050485933095358,0.171000738915772,0.004991095884941,-0.196463987436648
10,"Pleural Effusion",0.512550054949913,0.121386127403154,0.282518348218233,0,0.118786554324621,-0.123071574909481,0.079601581546935,0.162936155907648,0.006543460960297,-0.262056422619803
11,"Pneumothorax",0.363791111921697,-0.072088788768776,0.318104444039151,0,0.242963098060672,0.185410514180797,0.056234421545383,-0.169634947895817,0.018906924433096,0.28109069736359
12,"No Finding",0.229541433826627,-0.201465451734389,0.388711353233551,0,0.342051613265564,0.226882747718003,0.022841256914998,-0.271813160737216,0.01685434275926,0.198820716159978
13,"Edema",0.418135620136573,-0.002985725394837,0.315009589425978,0,0.180867568194867,0.162329730409549,0.085400862437547,0.169750301421008,0.000586359805035,-0.353553470094751
