,diseases,%M,Gap_M,%F,Gap_F
0,Pneumothorax,0.6660587269742841,-0.005609848160827602,0.33394127302571586,0.005609848160827602
1,Atelectasis,0.6068533735815306,-0.014187247396273861,0.3931466264184694,0.014187247396273861
2,Edema,0.5654218736638936,0.019200406018506533,0.4345781263361063,-0.019200406018506533
3,Pleural Other,0.6534700315457413,-0.02052081860470431,0.34652996845425865,0.02052081860470431
4,Cardiomegaly,0.5918838824804028,0.0341980296627904,0.4081161175195972,-0.0341980296627904
5,Consolidation,0.6304306281054911,0.04512916999137223,0.36956937189450884,-0.04512916999137223
6,Airspace Opacity,0.6205496478386963,0.04729803627873741,0.3794503521613037,-0.04729803627873741
7,Lung Lesion,0.5709656513285807,-0.05975031806070416,0.4290343486714193,0.05975031806070416
8,Fracture,0.6633405249910105,0.06404792150929522,0.3366594750089896,-0.06404792150929522
9,Enlarged Cardiomediastinum,0.6191416458563215,0.06946433888611742,0.38085835414367847,-0.06946433888611742
10,Pneumonia,0.5917776230998945,0.07912228128729898,0.40822237690010554,-0.07912228128729898
11,Pleural Effusion,0.5513118502330634,-0.0981652977349301,0.44868814976693655,0.0981652977349301
12,Support Devices,0.654981009162938,0.14942982545956807,0.345018990837062,-0.14942982545956807
13,No Finding,0.46537867512847153,-0.17544168505466573,0.5346213248715285,0.17544168505466573
