,"diseases","%60-80","Gap_60-80","%40-60","Gap_40-60","%20-40","Gap_20-40","%80-","Gap_80-","%0-20","Gap_0-20"
0,"Pneumonia",0.432876035655747,0,0.361946246940746,0.031579279811394,0.137930260233065,-0.011206543508659,0.05700877921728,0.004793441616759,0.010238677953163,-0.01216827144889
1,"Lung Lesion",0.451069345430979,0.048248667464375,0.390667530784187,0.065254365013742,0.095398574206092,-0.01928319160609,0.042320155541154,-0.006826053980416,0.020544394037589,0
2,"Consolidation",0.417091349216461,0.034433985756263,0.37300930054784,-0.051152205470145,0.147885080902026,0.013952747942204,0.059083959740094,-0.057635063869682,0.002930309593579,0
3,"Pleural Other",0.430914826498423,0.065003620139987,0.475709779179811,0.031936930430444,0.029652996845426,-0.071066907257914,0.063722397476341,-0.031936930430444,0,
4,"Fracture",0.382596188421431,-0.025358367269198,0.449838187702265,0.00524309141348,0.087198849334772,-0.079060599654285,0.074523552678893,0,0.005843221862639,0.120701493922242
5,"Airspace Opacity",0.407036320950145,0.088905096976759,0.365191271923767,0,0.153500897666068,-0.015103048495395,0.06536390001381,0.116355839478221,0.008907609446209,-0.102588010154164
6,"Enlarged Cardiomediastinum",0.451013415413206,0.041981429021089,0.350426854056565,-0.048181098355112,0.142691213194727,-0.005508380508381,0.045995702421744,0,0.009872814913758,0.234655377302436
7,"Support Devices",0.395572937211897,0,0.328214635905643,-0.105969144707651,0.221167175718778,0.126128282883572,0.049584681100454,0.099091007504252,0.005460570063228,-0.203283629073152
8,"Pleural Effusion",0.512550054949913,0.13214771066324,0.282518348218233,0,0.118786554324621,-0.11684515558283,0.079601581546935,0.167656402590741,0.006543460960297,-0.208443453513876
9,"Cardiomegaly",0.41492734688675,0,0.319968453253457,-0.125835880434697,0.196099674972914,0.085443135952896,0.06584188388248,0.099566352896671,0.003162641004397,-0.300052689497815
10,"Atelectasis",0.478817789064309,0.164200075863977,0.335617258810282,0,0.130087923145109,-0.043042666467899,0.050485933095358,0.148186884755779,0.004991095884941,-0.238562371808599
11,"Pneumothorax",0.363791111921697,-0.066233295157528,0.318104444039151,0,0.242963098060672,0.190291600707236,0.056234421545383,-0.142017277669452,0.018906924433096,0.284133760828854
12,"No Finding",0.229541433826627,-0.193846295929427,0.388711353233551,0,0.342051613265564,0.243122812386539,0.022841256914998,-0.264494584233991,0.01685434275926,0.213198655794925
13,"Edema",0.418135620136573,-0.01429029517864,0.315009589425978,0,0.180867568194867,0.114910642162098,0.085400862437547,0.14592947027156,0.000586359805035,-0.408598971057768
